,rank,AGE,GP,P,P/GP,+/-,Sh%,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF%,CF%,FF%,xGF%,W,L,SO,GAA,Sv%,GA60,xGA60,GSAx60,G/GP,A/GP,x0_C,"x0_C, LW","x0_C, LW, RW","x0_C, RW","x0_C, RW, LW",x0_D,x0_G,x0_LD,"x0_LD, LW",x0_LD/RD,x0_LW,"x0_LW, C","x0_LW, C, RW","x0_LW, LD","x0_LW, RW","x0_LW, RW, C",x0_RD,"x0_RD, RW",x0_RW,"x0_RW, C","x0_RW, LW","x0_RW, LW, C",Low Cap Hit,Middle Cap Hit,High Cap Hit,Low Salary,Middle Salary,High Salary
266,267,28,45,4,0.09,-12,0.02,1.79,58,121,77,0.13,4.32,9.01,5.73,42.43,43.51,42.95,39.07,0,0,0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
267,268,26,28,-,-,0,0.0,-,-,-,-,0.0,0.0,0.0,0.0,0.0,-,-,0.0,8,12,2,2.77,0.916,2.77,2.64,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
268,269,32,53,32,0.60,26,0.11,6.78,85,183,122,0.34,4.26,9.18,6.12,50.74,49.38,50.72,52.35,0,0,0,0.0,0.0,0.0,0.0,0.0,0.16981132075471697,0.4339622641509434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
269,270,32,56,58,1.04,6,0.13,12.91,142,277,192,0.77,8.43,16.44,11.39,59.64,58.91,58.81,55.65,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3392857142857143,0.6964285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
270,271,27,54,23,0.43,1,0.19,5.05,51,100,66,0.4,4.08,8.0,5.28,52.22,53.69,53.41,57.65,0,0,0,0.0,0.0,0.0,0.0,0.0,0.18518518518518517,0.24074074074074073,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
271,272,30,52,36,0.69,2,0.15,8.25,110,180,134,0.66,8.77,14.36,10.69,56.34,55.14,54.27,53.51,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3269230769230769,0.36538461538461536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
272,273,29,46,27,0.59,12,0.04,3.20,67,127,94,0.22,4.71,8.92,6.6,51.42,51.76,51.56,51.33,0,0,0,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
273,274,33,35,9,0.26,0,0.0,1.80,41,88,55,0.17,3.82,8.19,5.13,40.56,39.97,40.71,39.22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
274,275,29,56,19,0.34,15,0.04,1.57,51,134,81,0.09,2.94,7.72,4.67,47.77,46.77,47.43,48.21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.30357142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
275,276,31,55,15,0.27,-8,0.02,4.68,93,187,125,0.24,4.78,9.61,6.43,53.54,54.70,54.27,51.48,0,0,0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.23636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
276,277,28,14,4,0.29,-5,0.08,2.19,25,39,30,0.62,7.09,11.06,8.51,52.66,56.77,54.47,57.37,0,0,0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
277,278,28,51,31,0.61,14,0.2,12.02,74,133,107,1.02,6.28,11.29,9.09,59.36,57.12,57.92,59.54,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.27450980392156865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
278,279,27,48,12,0.25,-20,0.06,2.15,64,139,96,0.15,4.44,9.65,6.67,46.85,47.61,47.59,43.17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
279,280,27,50,15,0.30,1,0.04,2.31,78,159,99,0.13,4.23,8.61,5.36,42.69,42.48,42.16,42.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
280,281,26,50,18,0.36,-5,0.07,4.82,94,173,133,0.28,5.51,10.13,7.79,47.44,47.27,47.53,44.93,0,0,0,0.0,0.0,0.0,0.0,0.0,0.14,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
281,282,33,47,8,0.17,-3,0.04,6.18,83,130,97,0.54,7.22,11.31,8.44,43.64,43.07,42.95,41.44,0,0,0,0.0,0.0,0.0,0.0,0.0,0.06382978723404255,0.10638297872340426,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
282,283,27,52,28,0.54,-14,0.06,16.43,144,265,204,1.06,9.32,17.14,13.2,52.58,55.54,53.93,52.35,0,0,0,0.0,0.0,0.0,0.0,0.0,0.17307692307692307,0.36538461538461536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
283,284,27,41,17,0.41,-9,0.1,8.10,79,131,110,0.66,6.42,10.65,8.94,46.56,43.39,45.87,42.29,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1951219512195122,0.21951219512195122,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
284,285,30,48,23,0.48,19,0.05,4.90,110,227,166,0.27,6.01,12.4,9.07,47.27,48.49,49.10,45.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.125,0.3541666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
285,286,28,56,48,0.86,4,0.05,6.93,144,287,188,0.36,7.44,14.83,9.72,56.46,57.55,56.26,60.55,0,0,0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
286,287,28,35,23,0.66,10,0.13,12.25,106,177,143,1.4,12.11,20.22,16.32,64.39,63.53,64.04,63.07,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.2571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
287,288,27,50,18,0.36,-14,0.09,11.74,100,169,138,0.9,7.65,12.94,10.56,49.12,49.97,49.52,46.92,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
288,289,28,51,27,0.53,-1,0.18,10.30,74,134,107,0.62,4.48,8.11,6.47,47.05,48.85,48.75,45.24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2549019607843137,0.27450980392156865,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
289,290,25,23,11,0.48,-3,0.03,1.17,37,75,48,0.16,5.07,10.28,6.58,49.01,50.97,50.89,49.89,0,0,0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
290,291,24,56,38,0.68,-3,0.11,14.28,156,260,192,0.99,10.77,17.95,13.26,53.64,53.54,52.78,54.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.30357142857142855,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
291,292,26,37,20,0.54,11,0.06,2.63,80,126,97,0.22,6.57,10.35,7.97,64.15,62.40,63.17,63.29,0,0,0,0.0,0.0,0.0,0.0,0.0,0.13513513513513514,0.40540540540540543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
292,293,23,41,14,0.34,1,0.05,8.58,89,123,105,0.87,9.02,12.48,10.65,52.52,51.86,52.77,53.05,0,0,0,0.0,0.0,0.0,0.0,0.0,0.12195121951219512,0.21951219512195122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
293,294,32,33,-,-,0,0.0,-,-,-,-,0.0,0.0,0.0,0.0,0.0,-,-,0.0,19,8,2,2.63,0.915,2.59,2.44,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
294,295,34,34,-,-,0,0.0,-,-,-,-,0.0,0.0,0.0,0.0,0.0,-,-,0.0,8,15,2,2.7,0.912,2.7,2.45,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
295,296,26,56,35,0.63,1,0.17,13.57,117,194,156,0.81,7.02,11.64,9.36,45.62,46.23,45.93,42.93,0,0,0,0.0,0.0,0.0,0.0,0.0,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
296,297,25,39,-,-,0,0.0,-,-,-,-,0.0,0.0,0.0,0.0,0.0,-,-,0.0,25,9,2,2.75,0.909,2.75,2.47,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
297,298,28,32,16,0.50,12,0.16,5.55,43,62,55,0.72,5.59,8.05,7.14,43.85,43.35,45.08,46.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.21875,0.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
298,299,26,55,19,0.35,-12,0.11,6.02,53,82,71,0.44,3.86,5.97,5.17,41.38,43.80,42.38,36.78,0,0,0,0.0,0.0,0.0,0.0,0.0,0.10909090909090909,0.23636363636363636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
299,300,29,41,7,0.17,-16,0.01,3.19,80,154,110,0.22,5.52,10.63,7.59,46.28,46.85,46.00,43.39,0,0,0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.14634146341463414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
300,301,31,44,23,0.52,-1,0.12,9.14,68,130,103,0.78,5.8,11.09,8.78,53.06,52.03,51.39,54.12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.3409090909090909,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
301,302,25,48,18,0.38,10,0.21,4.62,44,82,64,0.43,4.05,7.57,5.91,49.09,48.06,48.44,44.32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
302,303,28,56,42,0.75,9,0.14,21.06,154,258,219,1.13,8.36,14.01,11.9,55.37,56.79,56.16,58.05,0,0,0,0.0,0.0,0.0,0.0,0.0,0.39285714285714285,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
303,304,28,0,0,0.00,0,0.0,0.00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
304,305,25,56,23,0.41,2,0.12,8.26,66,111,85,0.64,5.09,8.57,6.56,47.57,47.26,46.99,49.91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.26785714285714285,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
305,306,25,9,7,0.78,0,0.25,3.28,20,34,27,1.12,6.81,11.58,9.19,52.2,53.70,52.16,52.29,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
306,307,27,55,13,0.24,28,0.04,3.55,77,180,119,0.19,4.19,9.8,6.48,48.88,49.98,48.83,48.32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.05454545454545454,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
307,308,28,31,6,0.19,3,0.12,3.44,26,57,35,0.55,4.13,9.08,5.58,53.76,53.70,52.54,52.92,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
308,309,32,50,11,0.22,-5,0.08,7.13,50,93,73,0.64,4.47,8.31,6.52,40.9,38.28,39.40,43.37,0,0,0,0.0,0.0,0.0,0.0,0.0,0.08,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
309,310,31,46,16,0.35,5,0.11,4.51,42,79,61,0.47,4.37,8.23,6.35,43.82,44.30,43.30,40.59,0,0,0,0.0,0.0,0.0,0.0,0.0,0.10869565217391304,0.2391304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
310,311,25,50,11,0.22,-1,0.08,6.90,65,104,87,0.59,5.6,8.96,7.49,54.64,55.42,54.61,52.67,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
311,312,32,22,-,-,0,0.0,-,-,-,-,0.0,0.0,0.0,0.0,0.0,-,-,0.0,15,5,0,2.66,0.906,2.66,2.5,-0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
312,313,28,40,13,0.33,-5,0.17,4.66,48,97,68,0.55,5.67,11.45,8.02,53.15,53.75,52.02,54.88,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
313,314,27,0,0,0.00,0,0.0,0.00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
314,315,29,56,14,0.25,-2,0.1,8.46,72,112,91,0.66,5.58,8.68,7.05,41.36,38.26,38.97,43.19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
315,316,24,50,36,0.72,10,0.19,10.91,100,196,148,0.87,8.0,15.67,11.83,53.57,54.87,53.66,53.96,0,0,0,0.0,0.0,0.0,0.0,0.0,0.38,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
316,317,28,40,-,-,0,0.0,-,-,-,-,0.0,0.0,0.0,0.0,0.0,-,-,0.0,30,9,7,1.95,0.923,2.0,2.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
317,318,34,32,-,-,0,0.0,-,-,-,-,0.0,0.0,0.0,0.0,0.0,-,-,0.0,12,11,3,2.54,0.905,2.54,2.2,-0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
318,319,30,49,9,0.18,14,0.05,2.18,53,111,62,0.14,3.39,7.1,3.96,40.04,39.26,38.40,36.88,0,0,0,0.0,0.0,0.0,0.0,0.0,0.061224489795918366,0.12244897959183673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
319,320,33,54,11,0.20,-8,0.06,7.45,88,156,119,0.59,7.02,12.45,9.49,51.82,49.18,49.95,49.15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.09259259259259259,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
320,321,35,53,13,0.25,-30,0.06,9.02,82,145,111,0.69,6.31,11.15,8.53,51.52,53.73,53.18,47.27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.09433962264150944,0.1509433962264151,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
321,322,26,54,36,0.67,29,0.06,4.61,101,182,135,0.23,5.07,9.14,6.78,52.1,50.27,50.89,51.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
322,323,24,55,15,0.27,-22,0.03,5.19,99,195,135,0.26,4.93,9.72,6.73,49.62,50.76,50.85,47.27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.05454545454545454,0.21818181818181817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
323,324,25,54,48,0.89,12,0.17,13.51,120,201,161,0.8,7.12,11.93,9.55,48.82,47.77,48.19,49.76,0,0,0,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.5185185185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
324,325,32,0,0,0.00,0,0.0,0.00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
325,326,26,55,14,0.25,-15,0.06,8.17,94,144,116,0.51,5.88,9.01,7.26,45.28,44.82,44.42,41.58,0,0,0,0.0,0.0,0.0,0.0,0.0,0.10909090909090909,0.14545454545454545,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
326,327,29,27,5,0.19,-4,0.11,2.85,18,38,30,0.54,3.38,7.13,5.63,43.71,46.50,46.49,46.19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
327,328,23,40,30,0.75,15,0.16,5.74,68,112,85,0.55,6.57,10.82,8.21,52.11,52.78,52.90,50.35,0,0,0,0.0,0.0,0.0,0.0,0.0,0.275,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
328,329,25,55,8,0.15,1,0.02,2.00,52,120,73,0.11,2.95,6.82,4.15,41.15,41.30,41.17,39.07,0,0,0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.12727272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
